Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
245.09,245.37,245.0,245.0,0,0.0,0.0,AAPL
245.1,245.25,245.0,245.21,0,0.0,0.0,AAPL
245.0,245.2,245.0,245.01,0,0.0,0.0,AAPL
244.82,244.97,244.81,244.95,0,0.0,0.0,AAPL
244.8,244.9,244.78,244.78,0,0.0,0.0,AAPL
244.81,244.85,244.81,244.81,0,0.0,0.0,AAPL
244.89,244.89,244.78,244.78,0,0.0,0.0,AAPL
244.76,244.78,244.73,244.73,0,0.0,0.0,AAPL
244.73,244.79,244.73,244.75,0,0.0,0.0,AAPL
244.74,244.74,244.74,244.74,0,0.0,0.0,AAPL
244.75,244.78,244.75,244.78,0,0.0,0.0,AAPL
244.85,244.87,244.85,244.87,0,0.0,0.0,AAPL
244.84,244.84,244.81,244.84,0,0.0,0.0,AAPL
244.82,244.89,244.82,244.89,0,0.0,0.0,AAPL
244.91,244.91,244.9,244.91,0,0.0,0.0,AAPL
244.9,244.93,244.9,244.93,0,0.0,0.0,AAPL
244.95,245.0,244.95,245.0,0,0.0,0.0,AAPL
245.0,245.0,245.0,245.0,0,0.0,0.0,AAPL
244.98,245.05,244.98,245.05,0,0.0,0.0,AAPL
245.04,245.06,245.04,245.06,0,0.0,0.0,AAPL
245.09,245.09,245.01,245.01,0,0.0,0.0,AAPL
245.02,245.02,245.0,245.01,0,0.0,0.0,AAPL
244.99,244.99,244.93,244.93,0,0.0,0.0,AAPL
244.97,244.99,244.97,244.99,0,0.0,0.0,AAPL
244.95,244.95,244.94,244.94,0,0.0,0.0,AAPL
244.91,244.91,244.91,244.91,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.91,244.93,244.91,244.93,0,0.0,0.0,AAPL
244.92,244.92,244.91,244.92,0,0.0,0.0,AAPL
244.92,244.93,244.91,244.92,0,0.0,0.0,AAPL
244.93,244.95,244.93,244.95,0,0.0,0.0,AAPL
244.93,244.95,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.9,244.9,0,0.0,0.0,AAPL
244.91,244.92,244.86,244.91,0,0.0,0.0,AAPL
244.91,244.91,244.91,244.91,0,0.0,0.0,AAPL
244.93,244.93,244.91,244.91,0,0.0,0.0,AAPL
244.96,244.96,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.92,244.92,244.91,244.91,0,0.0,0.0,AAPL
244.89,244.91,244.87,244.87,0,0.0,0.0,AAPL
244.89,244.9,244.86,244.86,0,0.0,0.0,AAPL
244.87,244.89,244.84,244.89,0,0.0,0.0,AAPL
244.86,244.87,244.86,244.87,0,0.0,0.0,AAPL
244.86,244.86,244.86,244.86,0,0.0,0.0,AAPL
244.86,244.86,244.86,244.86,0,0.0,0.0,AAPL
244.89,244.96,244.89,244.91,0,0.0,0.0,AAPL
244.88,244.88,244.88,244.88,0,0.0,0.0,AAPL
244.93,244.95,244.93,244.95,0,0.0,0.0,AAPL
244.92,244.92,244.92,244.92,0,0.0,0.0,AAPL
244.92,244.92,244.9,244.9,0,0.0,0.0,AAPL
244.89,244.93,244.89,244.93,0,0.0,0.0,AAPL
244.94,244.94,244.94,244.94,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.94,244.94,244.93,244.93,0,0.0,0.0,AAPL
244.94,244.95,244.94,244.94,0,0.0,0.0,AAPL
244.94,244.94,244.94,244.94,0,0.0,0.0,AAPL
244.94,244.95,244.89,244.89,0,0.0,0.0,AAPL
244.91,244.91,244.89,244.89,0,0.0,0.0,AAPL
244.91,244.92,244.91,244.92,0,0.0,0.0,AAPL
244.91,244.91,244.9,244.9,0,0.0,0.0,AAPL
244.9,244.9,244.9,244.9,0,0.0,0.0,AAPL
244.94,244.94,244.94,244.94,0,0.0,0.0,AAPL
244.9,244.9,244.9,244.9,0,0.0,0.0,AAPL
244.93,244.94,244.93,244.94,0,0.0,0.0,AAPL
244.93,244.93,244.92,244.92,0,0.0,0.0,AAPL
244.92,244.93,244.92,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.92,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.92,244.92,244.86,244.87,0,0.0,0.0,AAPL
244.86,244.87,244.8,244.8,0,0.0,0.0,AAPL
244.8,244.8,244.8,244.8,0,0.0,0.0,AAPL
244.85,244.85,244.8,244.84,0,0.0,0.0,AAPL
244.82,244.84,244.82,244.82,0,0.0,0.0,AAPL
244.84,244.84,244.84,244.84,0,0.0,0.0,AAPL
244.84,244.84,244.84,244.84,0,0.0,0.0,AAPL
244.85,244.88,244.85,244.88,0,0.0,0.0,AAPL
244.91,244.93,244.91,244.93,0,0.0,0.0,AAPL
244.88,244.93,244.88,244.93,0,0.0,0.0,AAPL
244.89,244.89,244.89,244.89,0,0.0,0.0,AAPL
244.89,244.89,244.89,244.89,0,0.0,0.0,AAPL
244.91,244.91,244.91,244.91,0,0.0,0.0,AAPL
244.91,244.91,244.91,244.91,0,0.0,0.0,AAPL
244.95,244.95,244.95,244.95,0,0.0,0.0,AAPL
244.93,244.95,244.93,244.95,0,0.0,0.0,AAPL
244.9,244.92,244.87,244.87,0,0.0,0.0,AAPL
244.9,244.91,244.85,244.85,0,0.0,0.0,AAPL
244.84,244.84,244.83,244.83,0,0.0,0.0,AAPL
244.83,244.83,244.82,244.82,0,0.0,0.0,AAPL
